adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/OO75q1cTWWXDmy52bB79yzpxBt.jpg,"[53, 878, 80, 28]",1266798,fr,Chien 51,,176.5445,/6pSkQRQxxC5AJ82aKbp1lFXQnXo.jpg,2025-10-15,도그 51,False,6.3,207
False,,"[10749, 18]",1523145,ru,Твое сердце будет разбито,,158.8792,/iGpMm603GUKH2SiXB2S5m4sZ17t.jpg,2026-03-26,Твое сердце будет разбито,False,0.0,0
False,/5BeOSbwt6BR7q2Fax70lF4AIshD.jpg,"[16, 35, 12, 10751, 9648]",1084242,en,Zootopia 2,"미스터리한 뱀 게리가 나타난 순간, 주토피아가 다시 흔들리기 시작했다! 혼란에 빠진 도시를 구하기 위해 환상의 콤비 주디와 닉이 잠입 수사에 나서고 상상 그 이상의 진실과 위협을 마주하게 되는데...!",147.8408,/ib6v6qUXzez1x2qIOLN7C0yJNPQ.jpg,2025-11-26,주토피아 2,False,7.606,1906
False,/tn95fumbkVAgXjOuw9CQOg0aYQz.jpg,"[28, 80, 18, 53]",1419406,zh,捕风追影,"첨단 감시 시스템과 삼엄한 보안망을 무력화하고, 수십억을 탈취한 정체불명의 범죄 조직. 통제 불능의 범죄에 마카오 경찰은 결국 은퇴한 전설의 범죄 추적 전문가 ‘황더중’에게 도움을 요청한다. 황더중은 신입 경찰 ‘허추궈’와 함께 최정예 감시반을 구성해, 범죄 조직의 수장 ‘푸룽성’을 추적하기 시작한다. 하지만 수사망이 조여올수록 상대의 덫과 함정은 더욱 교묘해지고, 예상치 못한 반격 속에 황더중 역시 추적당하기 시작하는데…",144.4169,/uiIT7CsJ4V7rMnTqy7xYvj9IRhs.jpg,2025-08-16,포풍추영,False,7.249,456
False,/lmns2jlRmATs8OGWKcCkgrbHLM4.jpg,"[28, 18]",1634301,te,Vanaveera,,151.4164,/oBYExKI8E3bTzQjPkofhpV2EJon.jpg,2026-02-13,Vanaveera,False,2.0,1
False,/u9jE0R1nvkmdWu3bt7Op8joPywa.jpg,"[12, 53, 878]",840464,en,Greenland 2: Migration,생존한 개리티 가족은 안전한 그린란드 벙커를 떠나 폐허가 된 얼어붙은 유럽의 황무지를 가로질러 새로운 보금자리를 찾기 위한 위험한 여정을 시작한다.,119.2106,/z2tqCJLsw6uEJ8nJV8BsQXGa3dr.jpg,2026-01-07,그린랜드 2,False,6.51,538
False,/sdZSjtGUTSN8B3al5o0f2WoQfQQ.jpg,"[878, 12, 14]",83533,en,Avatar: Fire and Ash,"인간들과의 전쟁으로 첫째 아들 ‘네테이얌’을 잃은 후, ‘제이크’와 ‘네이티리’는 깊은 슬픔에 빠진다. 상실에 빠진 이들 앞에 '바랑'이 이끄는 재의 부족이 등장하면서, 판도라는 더욱 큰 위험에 빠지게 되고, ‘설리’ 가족은 선택의 기로에 서게 되는데…",115.8725,/l18o0AK18KS118tWeROOKYkF0ng.jpg,2025-12-17,아바타: 불과 재,False,7.276,1845
False,/z4hZZQ1GRuNGdeeWfKZIt8PXrmX.jpg,[28],1244975,fr,Les Orphelins,"과격하지만 재능있는 소녀 '레일라'는 경기를 망친 후 엄마와 집에 가는 도중 마약에 취해 난폭운전을 하던 로벨리보안회사 대표의 아들의 차에 사고를 당해 엄마는 사망한다. 이에 엄마와 같은 고아원에서 자란 친구들인 경찰 '가브'와 해결사 '드리스'는 18년 간의 소원함을 접고 함께 사건을 해결하려 한다. 로벨리보안회사 대표 로벨리는 이 사건을 덮으려 하고, 우연히 잡지 기사에서 로벨리 아들의 존재를 알아낸 레일라는 '가브'의 총을 훔쳐 로벨리의 저택으로 향한다. 로벨리의 저택에 침입한 레이라는 아들의 참회를 듣지만 로벨리의 제지와 아들이 자기 머리에 스스로 총을 겨누는 상황에 집을 빠져 나오는데 총성이 울린다. 총을 잃어 버린 가브는 돌아온 레일라에게 상황을 듣고 셋은 다시 로벨리 저택으로 향한다. 그 사이 로벨리 아들은 자살을 택하고 엄마 로벨리는 분노에 레일라를 납치 하려 한다. 하지만, 특수부대 출신들인 '가브'와 '드리스'는 로벨리 조직원들과 비아리츠 를 횡단 하며 벌이는 격렬한 총격전과 카체이스 추격전를 벌이며 '레일라'를 구하고 복수를 마무리 짖는다.",95.7573,/e08WqjLKqcw6HqHK9QlH0XGxyGb.jpg,2025-08-20,오펀스:복수자들,False,6.153,62
False,/uM5i623wwNfoGD97iwwQWQ7GlZL.jpg,"[18, 878]",1032892,en,In the Blink of an Eye,"희망과 연결, 생명의 순환에 관한 세 가지 이야기가 서로 교차하며 수천 년에 걸쳐 펼쳐진다.",101.9221,/YuS5vX8PG07anpOrZJLyb1g50v.jpg,2026-01-26,눈 깜짝할 사이에,False,4.167,40
False,/jFKbhV0uFZuA3K73UJIq1dzisCi.jpg,"[16, 878, 12, 14, 10751]",804370,fr,Arco,"2075년, 자연이 너무 위험해져 아이들은 돔 안에서 생활하고, 부모 없이 로봇에 의해 양육된다. 열 살 소녀 아이리스는 어느 날, 자신이 2932년 미래에서 왔으며 무지개를 타고 하늘을 날 수 있다고 말하는 동갑내기 소년 아르코를 만나며 희망의 빛을 발견하게 된다.",102.8511,/452fi4x08vqfaFpIEI9fsK7Zs4D.jpg,2025-10-22,아르코,False,7.6,92
